,user_id,items
358,20869,Origanal South Indian Frappe - Cold Coffee
359,20869,Spicy Banana Chips - Food Menu
360,20868,Almond Frappe - Cold Coffee
361,20868,Cappucino - Hot Coffee
362,20867,Berliners - Food Menu
363,20867,Hyderabadi Chicken Keema Pav - Food Menu
364,20867,Calzones Veg - Food Menu
365,20866,Sea Salt Dark Mocha Frappe - Cold Coffee
366,20866,Malnad Tonic - Coffee Coolers
367,C2294,Baked Pav Bhaji - Food Menu
368,C2294,Baked Vada Pav - Food Menu
369,20865,Americano - Hot Coffee
370,20864,ESPRESSO - Hot Coffee
371,20864,Origanal South Indian Frappe - Cold Coffee
372,20863,ESPRESSO - Hot Coffee
373,20863,Americano - Hot Coffee
374,20862,Pour Over - Manual Brew
375,20861,Bon Bon - Cold Coffee
376,20860,Cappucino - Hot Coffee
377,20859,Iced Americano - Cold Coffee
378,C2293,Papparoti - Sweet
379,20858,Baked Vada Pav - Food Menu
380,20858,Chicken Calzone - Food Menu
381,20858,Tartlets - Food Menu
382,20857,Madagascar Chocochip Frappe - Cold Coffee
383,20857,Caramel Frappe - Cold Coffee
384,20857,Origanal South Indian Frappe - Cold Coffee
385,20856,Hot Chocolate - Hot Chocolate
386,20855,Baked Pav Bhaji - Food Menu
387,20855,Calzones Veg - Food Menu
388,20854,Origanal South Indian Frappe - Cold Coffee
389,20853,Iced Latte - Cold Coffee
390,20853,Add On Syrup - Extra Toppings
391,20853,Cappucino - Hot Coffee
392,20853,Baked Vada Pav - Food Menu
393,20852,Baked Vada Pav - Food Menu
394,20852,Sea Salt Dark Mocha Frappe - Cold Coffee
395,20851,Hyderabadi Chicken Keema Pav - Food Menu
396,20850,Kaapicino - Hot Coffee
397,20849,Berliners - Food Menu
398,20848,Cafe Mocha - Hot Coffee
399,20847,Cafe Mocha - Hot Coffee
400,20847,Yellow Banana Chips - Food Menu
401,20847,Spicy Banana Chips - Food Menu
402,20846,Origanal South Indian Frappe - Cold Coffee
403,20846,Tartlets - Food Menu
404,20845,Hazelnut Frappe - Cold Coffee
405,20845,Iced Latte - Cold Coffee
406,20845,Calzones Veg - Food Menu
407,20845,Berliners - Food Menu
408,20844,Madagascar Chocochip Frappe - Cold Coffee
409,20844,Americano - Hot Coffee
410,20844,Baked Vada Pav - Food Menu
411,20844,Baked Vada Pav - Food Menu
412,20844,Calzones Veg - Food Menu
413,20843,Americano - Hot Coffee
414,20843,Madagascar Chocochip Frappe - Cold Coffee
415,20843,Cappucino - Hot Coffee
416,20842,Baked Vada Pav - Food Menu
